region,sector,original_a_ii,capped_a_ii
PRY,Aluminium ore,19.907713914126912,0.95
AFG,Gold ores,19.738045897690153,0.95
PRY,Other non-ferrous ores,8.281235773905491,0.95
PRY,Copper ores,5.135587022085825,0.95
ETH,Uranium ores,5.037872672270049,0.95
YEM,Gold ores,3.1790197378418763,0.95
YEM,Tin ores,3.1375031466132097,0.95
AFG,Copper ores,2.6313928578716026,0.95
DJI,Uranium ores,2.0978862130613103,0.95
DJI,Gold ores,2.037565927526864,0.95
DJI,Tin ores,1.7824480552041797,0.95
AFG,Aluminium ore,1.5850029202746874,0.95
YEM,Copper ores,1.5477974828519732,0.95
AFG,Tin ores,1.537061993157924,0.95
DJI,Copper ores,1.5295010271799925,0.95
PRY,Uranium ores,1.5071200636227056,0.95
PRY,Iron ores,1.4641216951459917,0.95
YEM,Aluminium ore,1.4460220385101854,0.95
PAN,Iron ores,1.4443340310076138,0.95
YEM,Nickel ores,1.4362117014647786,0.95
AFG,Nickel ores,1.2628642706238915,0.95
YEM,Lead/zinc/silver ores,1.262308042233789,0.95
PRY,Gas extraction,1.2045549283975214,0.95
DOM,Tin ores,1.1456713199721593,0.95
ZMB,Aluminium ore,1.112521532619103,0.95
ETH,Copper ores,1.1072208661537408,0.95
URY,Nickel ores,1.0926232894238903,0.95
GHA,Nickel ores,1.091520080888585,0.95
IRN,Nickel ores,1.0891859746217627,0.95
PRY,Hard coal,1.0888754392422155,0.95
HND,Uranium ores,1.0859969701472638,0.95
GHA,Tin ores,1.0612719930993397,0.95
RWA,Uranium ores,1.0513721224496975,0.95
RWA,Aluminium ore,1.045845273932374,0.95
IRN,Aluminium ore,1.0450821405908481,0.95
BHR,Copper ores,1.0413359413725938,0.95
CRI,Nickel ores,1.0406555631577978,0.95
CRI,Tin ores,1.025683429377646,0.95
CRI,Copper ores,1.021475996733276,0.95
RWA,Copper ores,1.0165164057718157,0.95
YEM,Other non-ferrous ores,1.0074695684411303,0.95
KWT,Gold ores,1.0054010517186922,0.95
DJI,Lignite and peat,1.0050564023005126,0.95
HTI,Other non-ferrous ores,0.9993299922847865,0.95
GMB,Other non-ferrous ores,0.998104900656789,0.95
GMB,Gold ores,0.9960152401502489,0.95
DZA,Gold ores,0.9934646496294317,0.95
DZA,Lignite and peat,0.9932876400132662,0.95
LBR,Basic tin,0.9931644899824422,0.95
HTI,Lead/zinc/silver ores,0.9925409331318367,0.95
DZA,Nickel ores,0.9909922994378983,0.95
DZA,Copper ores,0.9907699964284722,0.95
SOM,Basic nickel,0.990526366931965,0.95
QAT,Gold ores,0.9896446624964386,0.95
DJI,Basic tin,0.9895812934589742,0.95
RWA,Growing sugar beet and cane,0.9894287177899362,0.95
MNG,Poultry meat,0.9882798448327716,0.95
GMB,Copper ores,0.9871484772421008,0.95
SLE,Growing cereals n.e.c.,0.9861547508573184,0.95
LBR,Basic nickel,0.9858926392291313,0.95
NPL,Tin ores,0.9857182438355301,0.95
UZB,Aluminium ore,0.9852857014396876,0.95
CUB,Copper ores,0.9837374186408301,0.95
GMB,Nickel ores,0.9827110159991901,0.95
HTI,Nickel ores,0.9814117536546391,0.95
CUB,Aluminium ore,0.981138714939474,0.95
URY,Uranium ores,0.9809365247230294,0.95
RWA,Nickel ores,0.9802817553085046,0.95
CRI,Lead/zinc/silver ores,0.9797238006497722,0.95
NIC,Uranium ores,0.9795062336327847,0.95
GTM,Copper ores,0.9788682829135505,0.95
MDG,Aluminium ore,0.9780472515106523,0.95
ZMB,Tin ores,0.9775684341380756,0.95
HTI,Copper ores,0.9774650974846351,0.95
ERI,Nickel ores,0.9764389311668165,0.95
AGO,Nickel ores,0.974566944175589,0.95
AGO,Tin ores,0.9736169312440147,0.95
QAT,Uranium ores,0.9734313973754055,0.95
CAF,Growing cereals n.e.c.,0.9700815086295083,0.95
HTI,Aluminium ore,0.9699536144342247,0.95
HTI,Gold ores,0.9698719877001236,0.95
JAM,Tin ores,0.9697461332851923,0.95
SYR,Other non-ferrous ores,0.9686001216266936,0.95
HTI,Tin ores,0.9671038760243974,0.95
NAM,Aluminium ore,0.9668865233681966,0.95
COG,Growing maize,0.9667847994343073,0.95
GHA,Other non-ferrous ores,0.9666184913226662,0.95
QAT,"Waste collection, treatment, and disposal",0.9653329221482205,0.95
LBY,Other non-ferrous ores,0.965325149310304,0.95
DZA,Aluminium ore,0.9653220030230915,0.95
DZA,Other non-ferrous ores,0.9646054033655852,0.95
BHR,Growing sugar beet and cane,0.9633760248445538,0.95
GMB,Aluminium ore,0.96310045234109,0.95
GAB,Uranium ores,0.9616106940317023,0.95
BWA,Aluminium ore,0.9611272390869273,0.95
SYR,Uranium ores,0.9593524541903405,0.95
MMR,Aluminium ore,0.9586607067952058,0.95
IRN,Tin ores,0.9584112046665714,0.95
GMB,Lead/zinc/silver ores,0.9570187498195526,0.95
GAB,Tin ores,0.9568412828924644,0.95
XEU,Aluminium ore,0.9552752835453038,0.95
ARG,Basic tin,0.9546905999246555,0.95
ERI,Aluminium ore,0.9515740926451738,0.95
SYR,Copper ores,0.9511361383671039,0.95
